교육정도별,계_계,계_초졸이하,계_중졸,계_고졸,계_대졸이상,남자_계,남자_초졸이하,남자_중졸,남자_고졸,남자_대졸이상,여자_계,여자_초졸이하,여자_중졸,여자_고졸,여자_대졸이상
2007.08_비전형,2204,426,369,1045,363,1140,188,215,540,197,1065,239,155,505,167
2008.03_임금근로자,16138,1206,1346,6700,6885,9335,494,704,3849,4287,6804,712,643,2851,2598
2008.03_정규직,10472,429,640,4160,5244,6475,173,322,2576,3404,3996,255,318,1584,1839
2008.03_비정규직,5667,778,707,2540,1642,2859,321,382,1273,883,2807,457,325,1267,759
2008.03_한시적,3272,377,367,1344,1184,1720,154,195,711,660,1553,223,172,633,524
2008.03_시간제,1300,218,163,655,265,391,56,59,202,74,909,162,104,453,191
2008.03_비전형,2338,435,361,1127,415,1271,201,211,613,246,1067,235,150,513,169
2008.08_임금근로자,16258,1204,1352,6670,7031,9464,479,686,3895,4404,6793,725,666,2775,2627
2008.08_정규직,10770,447,695,4223,5405,6743,169,346,2662,3566,4027,278,348,1561,1840
2008.08_비정규직,5488,758,658,2447,1625,2722,310,340,1233,838,2766,448,318,1214,787
2008.08_한시적,3322,405,339,1348,1232,1719,160,174,718,666,1604,244,164,630,565
2008.08_시간제,1231,217,171,596,246,373,57,58,194,64,858,160,113,402,183
2008.08_비전형,2147,391,340,1039,378,1124,177,184,576,187,1023,214,155,463,191
2009.03_임금근로자,16210,1214,1312,6477,7207,9385,484,662,3733,4506,6825,731,649,2744,2701
2009.03_정규직,10803,443,670,4136,5554,6746,178,332,2574,3663,4057,266,338,1562,1891
2009.03_비정규직,5407,771,641,2341,1653,2639,306,330,1160,843,2768,465,311,1182,810
2009.03_한시적,3202,403,339,1250,1210,1642,157,169,665,652,1560,246,170,585,559
2009.03_시간제,1320,240,171,622,288,374,65,61,178,70,946,174,110,444,218
2009.03_비전형,2177,409,337,1004,426,1111,174,183,533,221,1066,236,155,471,205
