비전형근로자별,비정규직,비전형,파견,용역,특수형태,일일,가정내,비정규직(남자),비전형(남자),파견(남자),용역(남자),특수형태(남자),일일(남자),가정내(남자),비정규직(여자),비전형(여자),파견(여자),용역(여자),특수형태(여자),일일(여자),가정내(여자)
2008.03_증감 (전년동월),131,104,1,35,38,35,2,127,99,11,20,16,34,26,4,5,12,15,22,1,28
2008.03_증감률 (전년동월),2.3,4.7,0.5,6.1,5.9,3.9,1,4.3,8.4,14.1,5.8,7.1,5.8,166.7,0.1,0.5,13,6.4,5.2,0.2,20
2008.08_근로자수 (천명),5488,2147,140,639,603,822,65,2722,1124,65,368,185,566,7,2766,1023,75,271,417,256,59
2008.08_구성비 (비정규직대비),100,39.1,2.6,11.6,11,15,1.2,100,41.3,2.4,13.5,6.8,20.8,0.2,100,37,2.7,9.8,15.1,9.3,2.1
2008.08_증감 (전년동월),244,57,36,52,34,22,59,206,16,19,31,31,13,17,38,41,17,21,4,34,42
2008.08_증감률 (전년동월),4.3,2.6,20.2,8.8,5.4,2.6,47.4,7,1.4,22.2,9.1,14.3,2.3,71.5,1.3,3.9,18.2,8.4,0.8,11.8,41.8
2009.03_근로자수 (천명),5407,2177,133,572,640,860,70,2639,1111,60,317,208,559,8,2768,1066,73,255,431,301,62
2009.03_구성비 (비정규직대비),100,40.3,2.5,10.6,11.8,15.9,1.3,100,42.1,2.3,12,7.9,21.2,0.3,100,38.5,2.6,9.2,15.6,10.9,2.2
2009.03_증감 (전년동월),259,161,41,41,34,84,82,221,161,33,54,2,63,33,39,1,9,13,33,20,49
2009.03_증감률 (전년동월),4.6,6.9,23.8,6.7,5.6,8.9,54.1,7.7,12.6,35.3,14.5,0.8,10.2,80,1.4,0.1,10.8,5.2,8.2,6.4,44.3
2009.08_근로자수 (천명),5783,2288,166,617,644,885,99,2690,1157,72,340,206,576,12,3092,1131,94,278,438,309,87
2009.08_구성비 (비정규직대비),100,39.6,2.9,10.7,11.1,15.3,1.7,100,43,2.7,12.6,7.7,21.4,0.5,100,36.6,3,9,14.2,10,2.8
