연령구분_전체,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2023.05_6개월~1년 미만,420,207,213,704,361,342
2023.05_1~2년 미만,507,231,276,918,454,464
2023.05_2~3년 미만,267,141,126,455,260,196
2023.05_3년 이상,324,203,121,755,469,286
2023.05_첫 취업 평균소요기간,10,12,9,12,14,11
2024.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3765,1794,1972,7030,3528,3502
2024.05_임금 근로자,3671,1742,1929,6832,3418,3414
2024.05_3개월 미만,1750,782,969,3086,1427,1660
2024.05_3~6개월 미만,412,184,228,821,406,415
2024.05_6개월~1년 미만,406,185,222,722,336,386
2024.05_1~2년 미만,491,243,248,865,457,408
2024.05_2~3년 미만,255,131,123,461,253,208
2024.05_3년 이상,357,217,140,877,540,337
2024.05_첫 취업 평균소요기간,12,13,10,14,16,12
2025.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3607,1743,1864,6961,3526,3435
2025.05_임금 근로자,3508,1693,1814,6761,3410,3351
2025.05_3개월 미만,1608,740,868,2996,1408,1588
2025.05_3~6개월 미만,400,183,217,778,381,398
2025.05_6개월~1년 미만,401,182,219,759,373,386
2025.05_1~2년 미만,496,233,263,902,457,445
2025.05_2~3년 미만,257,139,118,483,264,219
2025.05_3년 이상,346,217,129,843,527,316
2025.05_첫 취업 평균소요기간,11,13,10,14,15,12
