일자리선택동기별,계,자발적 사유,자발적_계,근로조건에 만족,안정적인 일자리,직장이동 등 1),노력한 만큼 수입 등 2),비자발적 사유,비자발적_계,당장 수입이 필요,원하는 일자리 없음 등3),직장이동 등 1),노력한 만큼 수입 등 2)
2023.08_비정규직,100,65.6,100,59.9,21,12.1,7,34.4,100,71.9,15.4,8.6,4
2023.08_한시적,100,68.1,100,62.2,24.2,9.8,3.8,31.9,100,71.7,17.4,7,3.9
2023.08_기간제,100,69.5,100,62.5,24.8,9.5,3.3,30.5,100,70.6,18.4,7.3,3.8
2023.08_비기간제,100,52.9,100,57.5,15.7,15,11.8,47.1,100,79.1,11,5.2,4.7
2023.08_시간제,100,59.8,100,62.4,11.7,18.8,7.1,40.2,100,67.5,16.2,12.2,4.1
2023.08_비전형,100,53.6,100,57,18.1,6.7,18.1,46.4,100,81.6,10.4,3.7,4.2
2024.08_정규직,100,91.3,100,46.6,48.5,3.4,1.5,8.7,100,76.2,14.1,7.4,2.2
2024.08_비정규직,100,66.6,100,59.9,21.6,11.7,6.8,33.4,100,74.3,14.8,7.7,3.2
2024.08_한시적,100,67.7,100,61.5,24.7,9.2,4.6,32.3,100,74.6,15.6,7.5,2.4
2024.08_기간제,100,69,100,62,25.3,8.7,3.9,31,100,75.9,14.4,7.2,2.5
2024.08_비기간제,100,56.9,100,57,19,13.4,10.7,43.1,100,67,22.1,9.5,1.4
2024.08_시간제,100,61.1,100,61.6,12.9,18.1,7.3,38.9,100,70.7,15.9,10,3.4
2024.08_비전형,100,56.4,100,58.6,18,6.7,16.7,43.6,100,82.7,10.8,2.1,4.4
2025.08_정규직,100,91.5,100,46.5,48.6,3.5,1.5,8.5,100,76.8,14.1,6.3,2.8
2025.08_비정규직,100,67.8,100,57.9,22.8,12.1,7.2,32.2,100,73.3,15.3,8.1,3.3
2025.08_한시적,100,69,100,59.6,26,10.2,4.3,31,100,74.8,15.3,7.3,2.6
2025.08_기간제,100,69.7,100,59.4,26.6,10.1,4,30.3,100,75.1,15.2,7.2,2.5
2025.08_비기간제,100,61.4,100,61.7,19.4,11.5,7.4,38.6,100,72.3,16.4,8,3.3
2025.08_시간제,100,60.9,100,61.2,13.2,17.7,8,39.1,100,68.6,17.5,10.3,3.7
2025.08_비전형,100,59.1,100,54.6,19.2,8.5,17.6,40.9,100,80.5,11.8,3.6,4.1
